Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset,Pos_arousal,Neg_arousal,Pos_arousal_scaled,Neg_arousal_scaled,W_score_scaled,NAcc_onset_z,AIns_onset_z,MPFC_onset_z,NAcc_middle_z,AIns_middle_z,MPFC_middle_z,NAcc_offset_z,AIns_offset_z,MPFC_offset_z,NAcc_whole,AIns_whole,MPFC_whole,NAcc_whole_z,AIns_whole_z,MPFC_whole_z,NAcc_ind_peaks_pos,AIns_ind_peaks_pos,MPFC_ind_peaks_pos,NAcc_ind_peaks_pos_id,AIns_ind_peaks_pos_id,MPFC_ind_peaks_pos_id,NAcc_ind_peaks_neg,AIns_ind_peaks_neg,MPFC_ind_peaks_neg,NAcc_ind_peaks_neg_id,AIns_ind_peaks_neg_id,MPFC_ind_peaks_neg_id,NAcc_pos_peak,AIns_pos_peak,MPFC_pos_peak,NAcc_neg_peak,AIns_neg_peak,MPFC_neg_peak,NAcc_slope_peak,AIns_slope_peak,MPFC_slope_peak,NAcc_slope_peak_avg,AIns_slope_peak_avg,MPFC_slope_peak_avg,NAcc_delta_peak,AIns_delta_peak,MPFC_delta_peak,NAcc_delta_peak_avg,AIns_delta_peak_avg,MPFC_delta_peak_avg,NAcc_TR1,NAcc_TR2,NAcc_TR3,NAcc_TR4,NAcc_TR5,NAcc_TR6,NAcc_TR7,NAcc_TR8,NAcc_TR9,NAcc_TR10,NAcc_TR11,NAcc_TR12,NAcc_TR13,NAcc_TR14,NAcc_TR15,AIns_TR1,AIns_TR2,AIns_TR3,AIns_TR4,AIns_TR5,AIns_TR6,AIns_TR7,AIns_TR8,AIns_TR9,AIns_TR10,AIns_TR11,AIns_TR12,AIns_TR13,AIns_TR14,AIns_TR15,MPFC_TR1,MPFC_TR2,MPFC_TR3,MPFC_TR4,MPFC_TR5,MPFC_TR6,MPFC_TR7,MPFC_TR8,MPFC_TR9,MPFC_TR10,MPFC_TR11,MPFC_TR12,MPFC_TR13,MPFC_TR14,MPFC_TR15,NAcc_w,AIns_w,MPFC_w,NAcc_f,AIns_f,MPFC_f,NAcc_a,AIns_a,MPFC_a
sub-01,rh6,Horror,12.0,42.0,30,3,3,2,0.045050029320190324,-0.059041971315773246,-0.1672828453084006,-0.25231791091461303,-0.1706527445386276,-0.026585512411009128,-0.015412135777387448,0.0416531826735978,0.1780132165467487,1.443546716086679,0.39110871618112,0.0293331537135841,0.3911087161811199,0.6875,0.5568575458041574,0.19408626145483032,-0.09423130210125172,-0.5274883430407156,-0.204631902437887,0.4478827142487519,-0.5031204179315416,-0.1496013946997877,0.3505746989888954,-0.07422667245727006,-0.06268051106026769,-0.00528504705755366,-0.15791707172269992,-0.05338234522761478,0.2347420370454652,0.3758908635164046,0.4614231882050801,0.5043242878251472,12.0,11.0,14.0,-0.5387854533985749,-0.3009740292666903,-0.5019393729700277,5.0,8.0,0.0,0.3758908635164046,0.4614231882050801,0.5043242878251472,-0.5387854533985749,-0.3009740292666903,-0.5019393729700277,0.0715894775494404,0.5372641955392027,0.9142822397230538,0.22617006148500404,0.5372641955392027,0.6030425271694745,0.0024146406597847117,0.011643632337359149,0.02217286422152819,0.006271963852465644,0.011643632337359149,0.013979439860542203,-0.3405935878316031,0.1977147086307283,0.2248913973970756,0.296480874946516,-0.1532432465417652,-0.5387854533985749,-0.4716644807955483,0.151318738912806,-0.2593598366644451,-0.143098522627303,0.0715293439321633,-0.0048597819041631,0.3758908635164046,-0.3930116514938579,-0.1266094529374841,-0.1098661510263932,0.0780030047062912,-0.147058683321652,0.011161139551545,-0.1274491664886572,-0.0257697612130132,-0.2421372367859389,-0.1465906423509856,-0.3009740292666903,-0.13779205307651,-0.0758410073341226,0.4614231882050801,-0.0366194765194806,-0.2154874075822003,0.0747906165987124,-0.5019393729700277,0.4123428667530261,-0.2602436488348811,-0.1705805896400204,-0.3159934818500999,-0.0635751950066144,-0.2220224100379722,-0.071358134500509,0.1936137548706229,0.0304144226194271,0.3707863783912022,0.2075198958032791,-0.4050859524951369,0.212521473209252,0.5043242878251472,0.18450401421885404,0.18446304027961077,-0.43071704890189955,-0.06957149969063713,0.08931878046581536,-0.22330295322791177,-0.047011845467840874,0.16097614088212375,-0.24445139333013916
sub-01,uh1,Horror,60.0,90.0,30,1,3,3,0.2337962400501706,-0.06770025850388042,0.007127510153012962,0.08918662475115677,-0.22214572999707832,0.1863771429433248,0.11077972602071359,0.05185058061032508,0.5325195049844073,1.706656216063069,0.1279992162047302,0.292442653689974,0.1279992162047301,-1.3125,0.547941939997792,-0.273779061313104,-0.15872430203000143,-0.1976657299251488,-0.9314498840249368,0.18033171619303762,-0.23766090432701503,0.11175536148246538,0.8867782285731189,0.14458753027401366,-0.07933180263021121,0.24200805269358167,0.03753843524854269,-0.3644911946185251,0.302795214245385,0.7130081881126548,0.4995243478757161,1.2614816221106324,3.0,7.0,13.0,-0.5990211759963453,-0.8569475742649457,-0.8501858911774123,11.0,9.0,9.0,0.7130081881126548,0.4995243478757161,1.2614816221106324,-0.5990211759963453,-0.8569475742649457,-0.8501858911774123,0.09284831978686267,-0.122234634981072,0.7554102234904126,0.19307582018202762,-0.122234634981072,0.6764797072506091,0.0034342430098564594,0.010773304036066687,0.010467196866913228,0.004500320602739786,0.010773304036066687,0.008035143461273757,-0.13509034751101,0.1775120464434334,0.2703603662302961,0.7130081881126548,0.1431909469754788,-0.028292561097022,0.1367578086482165,0.1545266518800722,0.0696049527238278,0.1133362716006893,-0.3311684244068498,-0.5990211759963453,0.2921886425530227,0.520724708061975,0.6711748798917654,-0.0819863764867568,-0.2594688024831714,0.1096905244659701,-0.0939508033935408,-0.0127858346219033,-0.4091440622975574,0.0330122490915777,0.4995243478757161,-0.3771736103901824,-0.8569475742649457,0.0087739598048615,-0.1134606751762105,-0.1149311068029693,0.0076969736484811,0.4711737515774626,-0.0337172687335746,0.721692954756838,-0.1262244646881443,-0.4090532853562459,-0.1170603852138084,0.3889035105576858,0.6910383590123681,1.0967613521217603,-0.3946316157977779,-0.8501858911774123,0.0595793865340307,-0.2833039902919991,0.7391012254108353,1.2614816221106324,0.885739281158537,-0.013247038488238994,0.01180918768112893,-0.04002598387411771,-0.009090732773053972,0.23898692823904308,0.18986744907730518,-0.39343942082619404,-0.11834989517432826,-1.3604133412189023
sub-01,rc2,Comedy,108.0,138.0,30,1,1,3,-0.09160168893474055,-0.07930517060772396,-0.055475338933452224,0.06650314269573436,0.07069769402857211,0.39381023936332493,0.37829512242804136,0.01798550615257845,0.09038583024016089,1.0951044053071357,-0.4835525945512027,-0.3191091570659592,-0.4835525945512028,-1.3125,0.25536193743082375,-0.13332566640914179,0.22598590579872405,-0.5647686278204814,-0.43347417250804393,0.4446039394100195,0.6681509249468534,-0.5604084136302181,-0.17654365959033458,0.11773219206301173,0.0031260098578088707,0.14290691022334456,0.11958141151906529,-0.375736084182468,0.164682061872803,0.5218302592058476,0.5199576040392458,0.6484067646712293,11.0,7.0,5.0,-0.4523690573139203,-0.2350751155863022,-0.5382786746163358,3.0,4.0,12.0,0.5218302592058476,0.5199576040392458,0.6484067646712293,-0.4523690573139203,-0.2350751155863022,-0.5382786746163358,0.10768774929896929,0.0,0.8232462445167996,0.12540307202251774,0.0,0.6216998162783608,0.006129556144904888,0.0,0.01269644749826479,0.003988656904084393,0.0,0.010479961876595617,0.0679982983579778,0.1756860476569471,0.04382630253928,-0.4523690573139203,-0.2931500359139873,-0.29313176248821,0.0282534360495223,0.3356761420299314,0.0518522975428458,0.2098656003445823,0.4554529366995427,0.5218302592058476,0.4932999045305596,0.5162340349441832,-0.0953415232399262,-0.1851061611566116,-0.0087690802732595,0.1184604566579928,-0.0860359526804393,-0.2350751155863022,-0.2160373529154906,-0.0995184366807556,0.5199576040392458,0.1392354463169061,0.0098512093829548,-0.2223635097586897,-0.0531348158781031,0.248476170222488,0.0103614748189226,0.1065882113582745,0.0629888049718491,0.0840928575311483,-0.14185023298006,-0.1077686443446281,-0.1748394798455704,0.6484067646712293,0.1886267503087424,0.5352784811444691,0.088292906326131,0.5084462943660529,0.2571030416057426,0.5876501036311421,-0.5382786746163358,-0.1685041759662114,0.313958856546467,0.02760869928155399,0.005103153492726803,0.6033240854971929,-0.09551312149432853,-0.11880372828902729,-0.3713034467432509,0.03712567305815766,-0.13692109251849713,-0.39710212902891356
sub-01,rh2,Horror,152.0,182.0,30,3,2,2,-0.034950473972997435,0.05187425789610054,-0.08870804401738923,-0.08791793374839144,-0.14089041248720247,-0.24990781673447704,0.02953472453980569,-0.003063461444373383,0.1116994220731617,1.1377708107087126,0.0853328108031534,-0.2764427516643823,0.0853328108031534,0.6875,-0.4143028975511604,0.04008517107656902,-0.5499665045783927,0.07067399500172702,-0.18649295693311047,-0.33794839951247624,0.20311276700057562,-0.11698904423870257,0.3427578307050901,-0.031111227727194383,-0.03069320534515842,-0.0756388128929015,-0.04683871184961922,-0.08779894336508136,-0.1817190244619263,0.3625042691254823,0.4436466122397558,0.4733815291594923,14.0,14.0,5.0,-0.3898347974992827,-0.5566396531897029,-0.5828397574777451,1.0,4.0,9.0,0.3625042691254823,0.4436466122397558,0.4733815291594923,-0.3898347974992827,-0.5566396531897029,-0.5828397574777451,0.5600060224330881,0.0,0.9453941654633304,0.500200722546478,0.0,0.46247707059402654,0.02924746276991428,0.0,0.019971082672826615,0.024238379713803326,0.0,0.009376305661037115,0.0519535715847142,-0.3898347974992827,-0.0506905587941488,0.1657676561269767,0.0480517587167534,-0.0154213183078156,-0.3685343632199189,0.1914716592131692,0.0827637081819797,-0.3298693546093715,-0.3384674755310635,-0.2113722657033212,0.2290231569565468,0.1059859378513841,0.3625042691254823,0.3939782770304866,0.1052354347453715,-0.0161317360818598,0.3329289669762073,-0.5566396531897029,-0.0993881531549979,-0.5552231860511727,-0.0249614982230202,0.1468066429398244,-0.1716858679466459,0.153800028083579,-0.1423128288227397,-0.2131089955712048,-0.2573421231512572,0.4436466122397558,0.1360832020741873,-0.0671451471594679,0.2127045111074493,-0.2531701498052768,-0.4720126363038381,0.4733815291594923,-0.0171339713856759,-0.5647655702146974,-0.5581813137537591,-0.5828397574777451,0.1881913978521445,0.1677513735768672,-0.1870477885061823,-0.0191762752110881,0.4087784026540673,-0.16974170860274912,0.17870951846777405,-0.26642906942988376,-0.3883609224413982,0.1216477437298662,0.5254962156675804,-0.005711225642026765,0.03951199127899442,-0.2907416030955763
sub-01,rh1,Horror,196.0,226.0,30,4,3,2,0.07007471841895056,0.2535428007134077,0.22171261213884397,0.07286257323032692,-0.018274839701853,-0.10780683025170161,-0.08746682192763697,-0.17685190597492184,0.27175479307921224,1.443546716086679,0.39110871618112,0.0293331537135841,0.3911087161811199,1.6875,-0.29718909520128434,-0.03828212816876071,0.01670674762706579,0.41151759744539634,-0.16622518102661252,-0.3029970754310275,0.030690639547078225,-0.3959659915026914,0.9677568403978505,0.018490156573880166,0.01947201834554426,0.12855352498878486,0.048339713930396745,-0.20015776689935488,0.2271555041979629,0.4726103218862217,0.7349382289732298,1.0186833970841105,6.0,4.0,4.0,-0.3905631360233748,-0.4326016875775422,-1.0011268844483476,8.0,13.0,0.0,0.4726103218862217,0.7349382289732298,1.0186833970841105,-0.3905631360233748,-0.4326016875775422,-1.0011268844483476,0.5100768251268197,0.0,1.0217554470377348,0.26568460859632576,0.0,0.2587617380178486,0.0180938521980563,0.0,0.010102448252428144,0.013166448013668994,0.0,-0.004367990903179334,0.3298291254511868,0.2253033341362459,-0.0162468742158102,0.0396586796699219,-0.2281706729467916,0.2819061521800282,0.4726103218862217,0.000161766871593,-0.3905631360233748,0.0001977612371665,-0.0408492285084345,0.0554236024475296,-0.0978401024691466,-0.2453914881714211,-0.1086768929367123,-0.2864884793897612,-0.1424052154647651,0.3190798319499158,0.642589637498419,0.7349382289732298,0.0365081316935157,0.3319661668818848,-0.1630746337143295,-0.0324852579871561,-0.2642886053831799,0.0031660256676954,-0.3009498322965153,-0.0585592194669949,-0.4326016875775422,-0.0953148162012523,-1.0011268844483476,0.0899742083987368,-0.0103615536890073,1.0113938933487274,1.0186833970841105,-0.4647502849547277,0.0862701692077103,-0.2158065576347114,0.1266333363088009,-0.0713808141855802,0.0275983638952784,-0.1237898793708627,0.486908184866174,0.8270834360602093,0.1409738599452622,0.10480359233220671,0.1848172267493466,0.4812197982697617,0.04321710130006384,-0.2278879568327395,0.05157820112960387,-0.027375393314835135,0.028162833781595103,-0.08550412523444223
sub-01,rc9,Comedy,244.0,274.0,30,4,4,4,0.10877493515137038,0.19038311815081643,-0.048930528814292606,-0.03508973006260417,-0.11811063505102512,-0.11238632721763206,-0.035212221561270296,0.06726504649703392,0.28381751350394685,2.275541621417425,0.1706656216063069,0.8613280590443302,0.1706656216063069,1.6875,0.13254815891377952,0.26853489593572516,-0.26542345378394677,-0.12401179317860608,0.02727676038961966,-0.1375802095014495,-0.06016181817584606,0.1291230566480595,0.419716814182041,0.012824327842498639,0.04651250986560841,0.04083355249067409,-0.017208484146890857,0.14164490432446808,0.0055710502988816,0.3837336725953658,0.628864461701953,1.2753405631716688,14.0,2.0,14.0,-0.4029626346210246,-0.3844142809513085,-0.8844170856442474,11.0,0.0,11.0,0.3837336725953658,0.628864461701953,1.2753405631716688,-0.4029626346210246,-0.3844142809513085,-0.8844170856442474,0.3241516552026224,0.4654584041140557,0.8330819541848928,0.172991729489106,0.26976829483984077,0.6544559497143447,0.05992299176496019,0.00740156953462346,0.011432559906733218,0.031399189000251446,-0.007157184357241896,0.010089767748094886,0.1204263964993078,0.0404477900001772,0.157475412755568,0.1347275952611652,0.0907974812406337,-0.168348920924328,0.2362876662798526,-0.0274251501249279,-0.27005695037312,0.0540947048295024,0.075926508605092,-0.4029626346210246,-0.1148663697000129,-0.1178922846857717,0.3837336725953658,-0.3844142809513085,0.1634060575878973,0.628864461701953,0.1332253028977037,0.4108340495178366,0.008164181656049,-0.2770981756854698,0.0138943376469161,-0.0265659447349641,-0.3089475741376568,-0.1081905433720731,-0.0341123578064472,-0.3225902115763246,0.1966150482406805,0.604603296999334,-0.1043895519747384,0.7286924022101544,-0.6000963361627971,-0.5854400774466333,0.3165809193025514,0.0070024609190246,0.286442606489939,-0.2474699551303999,-0.1722458116886059,-0.4356609366781181,-0.6539409402458503,-0.8844170856442474,0.6484463916757826,1.0336586385623807,1.2753405631716688,0.0015593942772463565,0.20165773047710603,0.2996674705073548,0.17795458893169191,0.28576035500312186,-0.1695198544963053,-0.41048775935587317,-0.19013303963718903,-0.641841961192779
sub-01,uc4,Comedy,288.0,318.0,30,3,2,4,-0.025200239072469488,-0.04203525451073904,0.01391214763840155,-0.19276275322288786,-0.2291631277892197,-0.28078287437870186,-0.2249101521912292,-0.3250052611731127,-0.28625095109028226,1.663989810661492,-0.440886189149626,0.2497762482883971,-0.4408861891496261,0.6875,0.06293934114549997,0.17788553453633904,0.3398685042882371,0.2127367233186929,-0.31543081990967065,-0.19851565715008762,-0.12808684993095576,-0.45383818100691825,-0.4433814706542897,-0.14762438149552884,-0.19873454782435712,-0.18437389261019413,0.04919640484441237,-0.19712782212674995,-0.10067620783871342,0.4265157031953147,0.3630357464574362,0.5886984978483818,1.0,9.0,0.0,-0.6476002197079911,-0.7485007243657196,-0.8749458550853463,11.0,11.0,10.0,0.4265157031953147,0.3630357464574362,0.5886984978483818,-0.6476002197079911,-0.7485007243657196,-0.8749458550853463,0.22386576813370349,0.0,0.0,0.022744335623063244,0.0,0.0,0.005248711042912961,0.0,0.0,0.010552779385052884,0.0,0.0,0.2026499350616112,0.4265157031953147,-0.4587003991463803,-0.0131627646800655,-0.2833036697928275,0.0658849421059685,-0.1124921547816085,-0.2429233235072866,-0.3236566568467909,-0.3506265730847218,-0.3713007132499248,-0.6476002197079911,-0.003766463151049,-0.0087648963127823,-0.0931184685343989,0.1584660242972581,0.08220327443043,-0.5606187539443764,0.1123965417618937,-0.0026233590989006,-0.3381054725492225,-0.6313847510797399,-0.3711266892664169,-0.1682344725081555,0.3630357464574362,-0.3534845567529463,-0.7485007243657196,-0.0730504530262256,-0.360498091231518,-0.0894924804891539,0.5886984978483818,0.1059003334201394,-0.6246658916646621,-0.0131667904845832,0.0127945890727319,-0.2799715731388602,-0.1986112588264705,-0.2908064397396539,-0.6219630152475334,-0.0125620849409914,-0.8749458550853463,-0.2717644059199668,0.2751418461928127,-0.1805508734468014,-0.3791354671921094,-0.1965036023555533,0.28589044567178457,-0.6006277932786133,-0.11245282232204405,0.551305029988298,-0.3394984004403667,0.27945681299369163,-0.05072806415933008,0.41214386071793646
sub-01,rh9,Horror,332.0,362.0,30,2,2,2,0.1856774080296708,-0.048688867209037145,0.38902752833474713,0.21033785967115842,0.10577207133085262,0.09256562916488212,0.26440209277996096,0.2669521497429934,0.10753457150024115,1.1377708107087126,0.0853328108031534,-0.2764427516643823,0.0853328108031534,-0.3125,-0.0959427847071332,-0.9300538245801798,0.8851045522077948,0.3978638031811209,0.16495297002899215,0.18229941596882218,0.45565690035068196,0.48885132922930036,-0.006606790231981519,0.22013912016026344,0.10801178462160295,0.19637590966662347,0.2525259729415566,-0.09208317510729574,0.35359905931487834,0.624572653013113,0.5236866260804435,0.8328947072888714,10.0,10.0,2.0,-0.1836770178718485,-0.3662819429097569,-0.5917064987259831,6.0,4.0,13.0,0.624572653013113,0.5236866260804435,0.8328947072888714,-0.1836770178718485,-0.3662819429097569,-0.5917064987259831,0.10022306064633357,-0.0408224698978924,0.7772472773697516,0.2094833414356751,-0.0408224698978924,0.36586249579736524,0.0026938967808317234,-0.0011107959827150828,0.009331879174736794,0.006301706415869429,-0.0011107959827150828,0.006745317017550871,-0.1705398075455025,0.0370342062899732,0.4180407147718227,0.2718144329928635,0.3720374936391971,-0.1593699828563339,-0.1836770178718485,0.2483139489208365,0.5923890629386199,0.5540332872245183,0.624572653013113,0.0466589795291181,0.1682135954909544,0.2621982969763172,0.2203669388903023,0.0432711713099204,-0.2716283499744103,0.3240949347336463,0.0270998507954148,-0.3662819429097569,0.0880221886037712,0.3970545442834457,-0.1100807672333531,0.1736116532118601,-0.0197472622114608,0.5236866260804435,0.1586262220088473,-0.1233874885323551,0.4083289295279619,0.3675064596300695,0.3412087484483819,0.0556474299191197,0.8328947072888714,0.7523981356580203,-0.0370113796406576,0.285000291804278,0.1135575917198984,-0.000587365501416,-0.2537797236301049,0.3186373514317551,0.6033714729501063,0.154572406533676,0.5992600125393008,-0.5917064987259831,-0.2278245357958942,-0.35946948826158015,0.22683513475337336,0.3574213216219167,-0.03926206722922853,0.4016915785515517,-0.16706686770901802,-0.09936461124470075,-0.015165462784561802,-0.27524628971939585
sub-01,uh2,Horror,376.0,406.0,30,4,3,1,-0.018561712952630142,-0.05256140967519372,0.2680284329225834,0.26057965517062204,0.09329747094984422,0.3346660560138421,-0.21607020470220367,-0.13297648373864512,0.3447470661263647,1.1804372161102892,0.6542182161575097,-0.2337763462628057,0.6542182161575096,1.6875,-0.40008363821629656,-0.38586432076307353,0.408468160862787,0.4770510521852505,-0.19395182009998113,0.6880643548007402,-0.583736878616823,-0.2929099393167386,1.1984877531202203,0.008649245838596076,-0.030746807487998205,0.31581385168759674,-0.168923154882623,-0.2909086933932644,0.765006756261249,0.4870400010202017,0.3914237250127148,0.910031352915592,8.0,8.0,3.0,-0.3996513477517812,-0.4778948312390747,-0.3092820345102346,11.0,4.0,9.0,0.4870400010202017,0.3914237250127148,0.910031352915592,-0.3996513477517812,-0.4778948312390747,-0.3092820345102346,-0.11283275702205386,0.0,0.3319650249674069,-0.11283275702205386,0.0,0.08954062369693704,-0.0030152478027018724,0.0,0.003647841625498342,-0.0030152478027018724,0.0,-0.6363788545739146,-0.007803829005045,-0.1691671434517071,-0.0727401635041552,0.2723724458106807,-0.1154698746129241,0.1479362877433163,0.0385175844963628,0.2551971585950815,0.4870400010202017,0.3742072439981478,-0.1565616423530439,-0.3996513477517812,-0.180232638461815,-0.2961437592093015,-0.0477616357350767,0.2317358723447542,0.128649080759352,-0.1345507143560103,-0.0107464558849898,-0.4778948312390747,-0.0837931958806334,-0.1209691884936885,0.3620668203041528,0.3914237250127148,-0.0822408061933246,-0.1137470618355998,-0.3362281484466848,-0.2376864103166324,0.1072659295055519,-0.0844867275998605,-0.1612720871862224,0.0117480223663389,0.5780663279481851,0.910031352915592,0.0015685485690231,0.3519561884894597,0.2426866656015348,0.7871889642934276,0.600780496195023,-0.3092820345102346,-0.0375985891169495,0.0132220692000753,0.5348190567369795,0.6541484060014768,0.5591443878102413,0.21546108874923775,-0.31424875984067285,-0.4215586536605889,-0.2769671901717041,-0.6325529706253071,-0.40153159292380525,-0.09096168793586998,-0.13651494081567747,0.045858685158701507
sub-01,rc6,Comedy,420.0,450.0,30,1,1,3,0.2681366901333525,0.09461697766521902,0.469419841773988,-0.21902874977673079,-0.285651748274542,0.07307615792702897,0.10960269264839831,-0.13319806490688624,-0.08048174107910996,1.0951044053071357,-0.4835525945512027,-0.3191091570659592,-0.4835525945512028,-1.3125,0.1605866676126211,-0.34575910381749747,0.9084204556909568,-0.5083903092243197,-0.5698068538076558,0.4755845844991205,0.8763697539049735,-0.28901251050834154,-0.09371826958919871,0.05290354433500665,-0.10807761183873636,0.15400475287396903,0.17618870409775828,-0.4015261560444983,0.4300955902002928,0.6057619990775762,0.3115756605891391,0.999267437382873,3.0,1.0,5.0,-0.3458497364955485,-0.8969790206959223,-1.5925231664166912,6.0,10.0,9.0,0.6057619990775762,0.3115756605891391,0.999267437382873,-0.3458497364955485,-0.8969790206959223,-1.5925231664166912,-0.0363230890124978,0.0,1.1409297247041517,-0.0453761546621021,0.0,0.2582347777508616,0.006570871988650422,0.0,0.020600180930323543,-0.0026611390068427116,0.0,0.006445646113587587,-0.1372750795082643,0.2042746284181554,0.3059218309575976,0.6057619990775762,0.3620000717216974,-0.2965181242086311,-0.3458497364955485,-0.2041406230962504,-0.229679406225124,-0.0189558588581,-0.0552789478705978,0.1001944047254373,0.0457651844137309,0.17630413336044,0.2810286886129811,0.0280712250322192,0.3115756605891391,0.300444871799361,0.1297280735730534,-0.2967349426676776,-0.205615614325094,-0.3178366307428921,-0.3357468724956693,-0.1731230687741412,-0.3959365550349131,-0.8969790206959223,-0.0312481530691895,-0.1136096645033181,0.1873997008273539,0.1884468129066447,-0.5870852082102704,0.5538445164938812,0.8294759341983446,0.7855298498651218,0.7653341165228628,0.999267437382873,0.5133153112133544,0.6309878997915022,-0.1856666923358936,-1.5925231664166912,-0.5964274131182776,0.2513777008868429,-0.1153389023631527,-0.0001009143953123,0.0580808235943499,0.004485463220345645,0.4546488304426112,-0.32633802143556406,0.010461097480960309,0.35852607654867147,-0.5247668698228733,0.11562335041355892,0.147470623137296,-0.13656421843093988
